Property_ID,Property,Community,Developer,Property_Type,Bedrooms,Price_AED,ROI,Rental_Yield,Expected_Appreciation,Risk
PID-00045,Palm Tower,Business Bay,Sobha Realty,Apartment,3 BR,3230163,8.4%,7.2%,High,Low
PID-00046,The Vista,Business Bay,Sobha Realty,Apartment,2 BR,4421356,7.3%,7.0%,High,Low
PID-00047,Royal Heights,Dubai Marina,Emaar,Apartment,4 BR,4563133,8.3%,7.4%,High,Low
PID-00048,Elite Vista,Business Bay,Sobha Realty,Villa,4 BR,1489753,8.3%,8.1%,High,Low
PID-00049,Vista Place,Business Bay,Sobha Realty,Apartment,4 BR,2764582,8.3%,7.5%,High,Low
PID-00050,Infinity Park,Dubai Marina,Sobha Realty,Villa,1 BR,3362589,7.2%,7.5%,High,Low
PID-00051,Azure Vista,JVC,Danube,Townhouse,4 BR,1120869,9.7%,8.5%,Medium,Medium
PID-00052,Vista Square,Business Bay,Sobha Realty,Apartment,2 BR,3459437,8.2%,6.9%,High,Low
PID-00053,Canal Heights,Dubai Marina,Sobha Realty,Apartment,1 BR,2134888,8.4%,7.0%,High,Low
PID-00054,Ocean Living,Business Bay,Sobha Realty,Apartment,4 BR,2068666,8.1%,6.9%,High,Low
PID-00055,Azure Collection,Dubai Marina,Emaar,Apartment,4 BR,3381341,8.8%,7.9%,High,Low
PID-00056,Harbour View,Dubai Marina,Sobha Realty,Villa,Studio,4223457,7.4%,6.8%,High,Low
PID-00057,Infinity Residence,JVC,Danube,Apartment,4 BR,1748795,8.6%,8.8%,Medium,Medium
PID-00058,Park Place,JVC,Danube,Apartment,1 BR,1288824,8.2%,8.9%,Medium,Medium
PID-00059,Vista Residences,Business Bay,DAMAC,Villa,3 BR,4169579,7.8%,7.9%,High,Low
PID-00060,Palm Collection,JVC,Binghatti,Villa,4 BR,1063274,8.5%,8.9%,Medium,Medium
PID-00061,Royal Living,Dubai Marina,Sobha Realty,Townhouse,2 BR,2970090,7.8%,6.5%,High,Low
PID-00062,Skyline Heights,Dubai Marina,Binghatti,Townhouse,Studio,3846233,8.8%,8.4%,High,Low
PID-00063,Central Gardens,JVC,Emaar,Townhouse,2 BR,1538947,8.9%,8.2%,Medium,Medium
PID-00064,Creek Square,JVC,Sobha Realty,Townhouse,4 BR,1919435,9.7%,7.8%,Medium,Medium
PID-00065,Park One,Dubai Marina,Emaar,Villa,1 BR,2953641,8.1%,7.9%,High,Low
PID-00066,Canal One,JVC,Binghatti,Villa,Studio,1231357,8.5%,8.8%,Medium,Medium
PID-00067,Grand Central,Dubai Marina,Danube,Apartment,Studio,2365200,7.4%,6.6%,High,Low
PID-00068,Skyline One,JVC,Binghatti,Apartment,3 BR,1411672,8.1%,8.3%,Medium,Medium
PID-00069,Skyline Vista,Business Bay,DAMAC,Apartment,Studio,1418980,7.1%,7.3%,High,Low
PID-00070,Elite Residences,Business Bay,Binghatti,Villa,1 BR,1226138,8.7%,8.1%,High,Low
PID-00071,Elite Park,JVC,Danube,Apartment,1 BR,1676068,8.2%,8.5%,Medium,Medium
PID-00072,Grand Residence,Business Bay,DAMAC,Townhouse,3 BR,1601839,7.9%,7.9%,High,Low
PID-00073,Canal Place,Business Bay,Binghatti,Townhouse,1 BR,3078551,7.6%,6.5%,High,Low
PID-00074,Skyline Point,JVC,Binghatti,Villa,3 BR,828336,8.8%,7.8%,Medium,Medium
PID-00075,Royal Point,JVC,Danube,Villa,1 BR,1027939,8.3%,7.8%,Medium,Medium
PID-00076,Marina Park,JVC,Sobha Realty,Apartment,2 BR,1768127,9.2%,8.2%,Medium,Medium
PID-00077,Ocean Horizon,Business Bay,Binghatti,Villa,3 BR,2209907,7.8%,7.9%,High,Low
PID-00078,Creek Vista,JVC,Danube,Villa,3 BR,1097237,10.0%,8.6%,Medium,Medium
PID-00079,Palm Tower,Dubai Marina,Binghatti,Villa,Studio,2115569,7.3%,8.4%,High,Low
PID-00080,Harbour Heights,Dubai Marina,Emaar,Apartment,4 BR,4895708,8.2%,8.4%,High,Low
PID-00081,Skyline Residence,Dubai Marina,Binghatti,Apartment,1 BR,1785221,8.3%,7.0%,High,Low
PID-00082,Grand Gardens,JVC,Emaar,Apartment,4 BR,1787509,8.9%,7.8%,Medium,Medium
PID-00083,Vista Central,Business Bay,Danube,Townhouse,4 BR,2916181,7.6%,7.1%,High,Low
PID-00084,The Gardens,JVC,Danube,Villa,Studio,1574726,8.8%,8.8%,Medium,Medium
PID-00085,Skyline Horizon,Business Bay,Emaar,Apartment,Studio,1703594,7.7%,6.8%,High,Low
PID-00086,Azure Horizon,JVC,DAMAC,Villa,3 BR,826609,9.3%,7.7%,Medium,Medium
PID-00087,Infinity Point,Business Bay,DAMAC,Apartment,1 BR,3615920,8.5%,7.3%,High,Low
PID-00088,Harbour Point,Business Bay,Danube,Apartment,4 BR,3725957,8.5%,8.1%,High,Low
PID-00089,The One,JVC,Binghatti,Townhouse,2 BR,695609,9.8%,7.6%,Medium,Medium
PID-00090,Harbour Heights,JVC,Emaar,Apartment,4 BR,745856,9.6%,8.7%,Medium,Medium
PID-00091,Royal Living,Dubai Marina,Binghatti,Townhouse,4 BR,4338155,7.2%,7.3%,High,Low
PID-00092,Central Gardens,Business Bay,Danube,Villa,4 BR,2737111,7.0%,6.6%,High,Low
PID-00093,Marina Park,Dubai Marina,DAMAC,Villa,3 BR,1999521,7.2%,7.3%,High,Low
PID-00094,Marina Vista,JVC,DAMAC,Apartment,2 BR,1611440,9.4%,7.7%,Medium,Medium
PID-00095,Elite Heights,JVC,Binghatti,Apartment,3 BR,1309426,9.1%,8.0%,Medium,Medium
PID-00096,Palm Horizon,JVC,Emaar,Townhouse,Studio,1737119,8.6%,8.6%,Medium,Medium
PID-00097,Harbour Heights,JVC,DAMAC,Apartment,2 BR,1814570,9.3%,8.0%,Medium,Medium
PID-00098,Creek Tower,JVC,Binghatti,Villa,1 BR,1110382,8.8%,8.0%,Medium,Medium
PID-00099,Azure Residences,Dubai Marina,Sobha Realty,Apartment,3 BR,4452521,7.0%,7.9%,High,Low
PID-00100,Infinity Collection,Dubai Marina,Emaar,Townhouse,4 BR,1953316,8.9%,6.6%,High,Low
PID-00101,Palm Point,JVC,Emaar,Apartment,Studio,918761,9.8%,8.2%,Medium,Medium
PID-00102,Harbour Park,JVC,Danube,Villa,2 BR,1543176,8.9%,8.5%,Medium,Medium
PID-00103,Canal Heights,Dubai Marina,Binghatti,Apartment,2 BR,2112302,7.2%,7.6%,High,Low
PID-00104,The Heights,Business Bay,Sobha Realty,Townhouse,2 BR,3756036,7.7%,8.0%,High,Low
PID-00105,Marina Living,Business Bay,Binghatti,Apartment,3 BR,4358273,7.5%,7.0%,High,Low
PID-00106,Azure Gardens,Dubai Marina,Binghatti,Villa,3 BR,2599779,8.9%,7.3%,High,Low
PID-00107,Azure Place,JVC,Emaar,Villa,4 BR,783819,8.0%,8.7%,Medium,Medium
PID-00108,Harbour Place,Business Bay,Danube,Townhouse,3 BR,3215679,7.3%,7.1%,High,Low
PID-00109,Creek View,JVC,Sobha Realty,Villa,Studio,1714535,8.4%,8.6%,Medium,Medium
PID-00110,Grand Gardens,JVC,Danube,Villa,3 BR,1079036,8.8%,8.3%,Medium,Medium
PID-00111,Elite Residences,Dubai Marina,Emaar,Townhouse,1 BR,3071508,8.4%,7.4%,High,Low
PID-00112,Ocean Residences,JVC,DAMAC,Townhouse,4 BR,1681615,9.0%,7.8%,Medium,Medium
PID-00113,Infinity Living,Business Bay,Sobha Realty,Townhouse,4 BR,3019304,7.4%,7.0%,High,Low
PID-00114,Ocean Vista,Business Bay,DAMAC,Apartment,3 BR,3484464,7.9%,7.8%,High,Low
PID-00115,Creek Square,JVC,Danube,Apartment,3 BR,738242,9.5%,8.9%,Medium,Medium
PID-00116,Vista Living,Dubai Marina,Emaar,Townhouse,Studio,4323744,8.6%,8.1%,High,Low
PID-00117,Palm Residences,JVC,Binghatti,Apartment,2 BR,1181220,8.9%,8.8%,Medium,Medium
PID-00118,Ocean Residences,Dubai Marina,Sobha Realty,Townhouse,3 BR,4969727,7.9%,7.7%,High,Low
PID-00119,Canal Gardens,JVC,DAMAC,Apartment,4 BR,1431613,8.7%,8.7%,Medium,Medium
PID-00120,Azure Gardens,Dubai Marina,DAMAC,Apartment,Studio,3060374,7.3%,7.8%,High,Low
PID-00121,The Tower,Business Bay,Emaar,Townhouse,4 BR,4486355,8.4%,8.2%,High,Low
PID-00122,Royal One,JVC,Sobha Realty,Townhouse,Studio,1099010,8.4%,7.7%,Medium,Medium
PID-00123,Creek Horizon,Dubai Marina,Danube,Apartment,2 BR,4466703,7.6%,6.9%,High,Low
PID-00124,Elite Gardens,Business Bay,Danube,Apartment,Studio,3679957,7.5%,8.0%,High,Low
PID-00125,Elite Gardens,Business Bay,Emaar,Townhouse,1 BR,2695301,7.1%,8.0%,High,Low
PID-00126,Park Square,Business Bay,Danube,Apartment,2 BR,1929337,7.9%,7.5%,High,Low
PID-00127,Park Residences,Dubai Marina,Sobha Realty,Villa,Studio,1976893,8.5%,7.2%,High,Low
PID-00128,Park Living,JVC,DAMAC,Townhouse,1 BR,1958106,9.5%,8.2%,Medium,Medium
PID-00129,Ocean Residences,Business Bay,Binghatti,Apartment,1 BR,1955185,7.4%,7.8%,High,Low
PID-00130,Central Tower,JVC,DAMAC,Apartment,3 BR,1127608,8.1%,7.9%,Medium,Medium
PID-00131,Harbour Point,Business Bay,DAMAC,Townhouse,3 BR,2049862,8.7%,8.0%,High,Low
PID-00132,Elite Vista,Business Bay,Sobha Realty,Apartment,4 BR,2210907,7.6%,6.6%,High,Low
PID-00133,Harbour Central,JVC,DAMAC,Townhouse,2 BR,1697916,8.0%,8.0%,Medium,Medium
PID-00134,Central Point,JVC,Emaar,Apartment,Studio,1029241,8.7%,7.9%,Medium,Medium
PID-00135,Grand Vista,Dubai Marina,Emaar,Townhouse,Studio,1977345,8.1%,7.6%,High,Low
PID-00136,Park Gardens,Business Bay,Binghatti,Townhouse,1 BR,1609367,8.1%,6.8%,High,Low
PID-00137,Royal Heights,JVC,Emaar,Apartment,2 BR,978641,8.2%,8.3%,Medium,Medium
PID-00138,Canal Heights,Dubai Marina,Binghatti,Villa,2 BR,4536848,8.1%,8.1%,High,Low
PID-00139,Azure Central,Business Bay,Sobha Realty,Villa,3 BR,3212399,7.5%,7.2%,High,Low
PID-00140,Canal Park,JVC,Emaar,Villa,3 BR,1279849,9.6%,8.4%,Medium,Medium
PID-00141,Skyline Tower,Business Bay,Emaar,Villa,2 BR,1823082,7.5%,7.6%,High,Low
PID-00142,Canal Park,JVC,DAMAC,Villa,4 BR,1641781,9.7%,7.5%,Medium,Medium
PID-00143,The Square,Dubai Marina,Sobha Realty,Villa,1 BR,4159346,7.0%,7.2%,High,Low
PID-00144,Azure Point,Business Bay,Danube,Apartment,1 BR,1399140,7.6%,7.7%,High,Low
PID-00145,Azure Living,Business Bay,Emaar,Apartment,2 BR,2885013,7.9%,7.1%,High,Low
PID-00146,Ocean Park,Dubai Marina,Binghatti,Apartment,3 BR,2758799,7.9%,6.7%,High,Low
PID-00147,Azure Residences,JVC,Danube,Townhouse,4 BR,1497763,9.3%,8.5%,Medium,Medium
PID-00148,Central Heights,Dubai Marina,DAMAC,Apartment,3 BR,4331746,8.0%,7.6%,High,Low
PID-00149,Central Place,Dubai Marina,Binghatti,Townhouse,2 BR,2654316,8.3%,8.2%,High,Low
PID-00150,Canal Residence,Business Bay,Sobha Realty,Villa,4 BR,4265995,8.3%,6.9%,High,Low
PID-00151,Palm Park,Dubai Marina,Danube,Townhouse,3 BR,4916745,8.4%,7.5%,High,Low
PID-00152,Ocean Park,Business Bay,Danube,Villa,3 BR,1501629,8.8%,7.1%,High,Low
PID-00153,Marina Horizon,Business Bay,DAMAC,Townhouse,1 BR,2165768,8.4%,7.0%,High,Low
PID-00154,Harbour Tower,Dubai Marina,Sobha Realty,Apartment,1 BR,3625288,8.6%,8.2%,High,Low
PID-00155,Palm Residence,Dubai Marina,Danube,Townhouse,3 BR,3608133,8.6%,8.3%,High,Low
PID-00156,Park One,JVC,Emaar,Apartment,2 BR,1690357,8.9%,8.2%,Medium,Medium
PID-00157,Central Place,Dubai Marina,Sobha Realty,Townhouse,Studio,2806289,8.5%,6.8%,High,Low
PID-00158,Canal Square,Dubai Marina,Emaar,Townhouse,2 BR,4830218,8.6%,7.1%,High,Low
PID-00159,Central Square,JVC,Binghatti,Townhouse,2 BR,1960397,9.5%,8.9%,Medium,Medium
PID-00160,Harbour Living,Dubai Marina,Sobha Realty,Townhouse,Studio,1632200,8.7%,7.8%,High,Low
PID-00161,Palm Square,Business Bay,Danube,Villa,4 BR,1508872,8.3%,6.6%,High,Low
PID-00162,Creek Collection,Business Bay,Sobha Realty,Townhouse,2 BR,2935175,7.6%,8.2%,High,Low
PID-00163,Skyline Vista,Dubai Marina,DAMAC,Villa,4 BR,4988747,7.3%,8.4%,High,Low
PID-00164,Skyline Central,Business Bay,Emaar,Villa,4 BR,3045560,7.5%,7.6%,High,Low
PID-00165,Creek Park,Business Bay,Emaar,Apartment,3 BR,1765576,8.4%,7.9%,High,Low
PID-00166,Skyline Living,Dubai Marina,Emaar,Townhouse,4 BR,3503373,8.1%,7.8%,High,Low
PID-00167,The Vista,JVC,DAMAC,Townhouse,1 BR,1973365,9.8%,8.5%,Medium,Medium
PID-00168,Grand Point,Dubai Marina,Danube,Villa,Studio,4603090,8.0%,8.4%,High,Low
PID-00169,Marina Park,JVC,Sobha Realty,Apartment,1 BR,945692,9.4%,8.8%,Medium,Medium
PID-00170,Canal Heights,Dubai Marina,Binghatti,Townhouse,4 BR,2264624,8.0%,7.6%,High,Low
PID-00171,Vista Place,JVC,DAMAC,Villa,2 BR,1264421,9.3%,8.3%,Medium,Medium
PID-00172,Royal Heights,JVC,Sobha Realty,Villa,3 BR,1710392,8.6%,7.5%,Medium,Medium
PID-00173,Canal Vista,Business Bay,Emaar,Townhouse,2 BR,1270862,7.3%,6.8%,High,Low
PID-00174,Harbour Place,Dubai Marina,Sobha Realty,Apartment,4 BR,2501214,7.9%,8.0%,High,Low
PID-00175,Canal Residences,Dubai Marina,Binghatti,Villa,3 BR,1763267,7.8%,6.8%,High,Low
PID-00176,Harbour Place,Business Bay,DAMAC,Apartment,3 BR,3638917,7.1%,7.8%,High,Low
PID-00177,Creek Horizon,JVC,DAMAC,Apartment,Studio,1608244,8.4%,8.3%,Medium,Medium
PID-00178,Royal Tower,Business Bay,DAMAC,Apartment,2 BR,4336758,7.8%,7.4%,High,Low
PID-00179,Grand Park,JVC,Emaar,Townhouse,3 BR,658420,8.1%,8.0%,Medium,Medium
PID-00180,Azure Vista,JVC,Danube,Townhouse,3 BR,1874760,9.2%,7.5%,Medium,Medium
PID-00181,Harbour Tower,JVC,Danube,Apartment,1 BR,1447066,9.3%,8.3%,Medium,Medium
PID-00182,The Collection,JVC,Danube,Apartment,4 BR,1703833,9.9%,8.9%,Medium,Medium
PID-00183,Park Vista,JVC,Emaar,Villa,4 BR,1391970,9.1%,8.4%,Medium,Medium
PID-00184,Ocean Point,Business Bay,Binghatti,Townhouse,3 BR,3047434,8.0%,7.7%,High,Low
PID-00185,Skyline Place,JVC,Emaar,Apartment,2 BR,989722,9.0%,8.7%,Medium,Medium
PID-00186,Creek Horizon,Dubai Marina,Emaar,Villa,2 BR,3428166,7.9%,7.7%,High,Low
PID-00187,The Residences,JVC,Binghatti,Villa,2 BR,1361421,9.5%,8.7%,Medium,Medium
PID-00188,The Horizon,Dubai Marina,Binghatti,Villa,3 BR,3261292,8.7%,8.5%,High,Low
PID-00189,Skyline Heights,JVC,Binghatti,Townhouse,Studio,1714044,8.8%,8.7%,Medium,Medium
PID-00190,Creek Horizon,Dubai Marina,Binghatti,Townhouse,4 BR,3656631,7.6%,7.2%,High,Low
PID-00191,Vista One,Business Bay,Emaar,Villa,2 BR,1283849,7.6%,6.7%,High,Low
PID-00192,Marina Square,JVC,Danube,Townhouse,1 BR,895749,8.6%,8.2%,Medium,Medium
PID-00193,Elite Place,Dubai Marina,DAMAC,Apartment,4 BR,2308259,7.8%,6.6%,High,Low
PID-00194,Palm Gardens,Business Bay,DAMAC,Townhouse,1 BR,4288024,7.3%,6.6%,High,Low
PID-00195,Harbour Place,Business Bay,Emaar,Townhouse,2 BR,2803940,7.7%,7.1%,High,Low
PID-00196,Elite Central,Business Bay,Sobha Realty,Apartment,3 BR,1263307,8.2%,6.8%,High,Low
PID-00197,Canal Square,Dubai Marina,Danube,Apartment,3 BR,1575756,7.5%,8.4%,High,Low
PID-00198,Canal Central,Dubai Marina,Emaar,Apartment,4 BR,3518403,9.0%,7.5%,High,Low
PID-00199,Creek Place,Dubai Marina,Binghatti,Townhouse,4 BR,2473822,7.9%,7.0%,High,Low
PID-00200,Grand Collection,JVC,DAMAC,Apartment,2 BR,1240853,9.1%,8.9%,Medium,Medium
PID-00201,Harbour Vista,Business Bay,Emaar,Townhouse,4 BR,3550706,8.2%,7.0%,High,Low
PID-00202,Azure One,Business Bay,Danube,Townhouse,3 BR,4260606,7.1%,7.1%,High,Low
PID-00203,Canal Heights,Business Bay,DAMAC,Apartment,3 BR,3388601,8.3%,7.1%,High,Low
PID-00204,The Tower,Business Bay,DAMAC,Villa,1 BR,1493277,8.6%,7.8%,High,Low
PID-00205,Grand Horizon,JVC,Emaar,Apartment,3 BR,1067432,9.8%,8.5%,Medium,Medium
PID-00206,Royal Point,JVC,Sobha Realty,Townhouse,4 BR,1829711,8.8%,7.7%,Medium,Medium
PID-00207,Infinity Heights,JVC,DAMAC,Villa,3 BR,1950635,8.2%,7.5%,Medium,Medium
PID-00208,Marina Square,Business Bay,Danube,Apartment,2 BR,3250976,8.0%,7.1%,High,Low
PID-00209,Canal Gardens,Business Bay,Danube,Townhouse,1 BR,3119384,7.5%,7.9%,High,Low
PID-00210,Canal Tower,Dubai Marina,Binghatti,Townhouse,1 BR,4491651,7.3%,7.7%,High,Low
PID-00211,Skyline Residence,JVC,Binghatti,Apartment,4 BR,1741003,9.4%,7.9%,Medium,Medium
PID-00212,Harbour View,Business Bay,Binghatti,Townhouse,1 BR,2385579,7.2%,8.0%,High,Low
PID-00213,Royal Residence,JVC,Emaar,Townhouse,2 BR,1414895,8.3%,8.1%,Medium,Medium
PID-00214,Marina Vista,Business Bay,Binghatti,Townhouse,Studio,3299025,8.7%,7.9%,High,Low
PID-00215,Marina One,Business Bay,Emaar,Townhouse,4 BR,1606432,7.9%,7.8%,High,Low
PID-00216,Creek Place,Business Bay,DAMAC,Villa,2 BR,3057917,7.4%,7.3%,High,Low
PID-00217,Canal Residence,Dubai Marina,DAMAC,Townhouse,3 BR,2475663,7.9%,8.3%,High,Low
PID-00218,Vista Residence,JVC,DAMAC,Townhouse,4 BR,908367,8.4%,8.6%,Medium,Medium
PID-00219,Infinity Heights,Business Bay,Danube,Townhouse,Studio,3644549,8.1%,8.2%,High,Low
PID-00220,The Gardens,Business Bay,Danube,Apartment,4 BR,3872264,8.5%,7.6%,High,Low
PID-00221,Vista Tower,JVC,Emaar,Townhouse,2 BR,839751,8.1%,7.7%,Medium,Medium
PID-00222,Canal Square,Dubai Marina,Danube,Villa,2 BR,2998920,9.0%,7.3%,High,Low
PID-00223,Creek Gardens,Dubai Marina,DAMAC,Apartment,3 BR,3039604,7.7%,7.1%,High,Low
PID-00224,Skyline Heights,Business Bay,Sobha Realty,Townhouse,3 BR,2435518,8.1%,7.4%,High,Low
PID-00225,Vista Horizon,Dubai Marina,Emaar,Townhouse,1 BR,2999051,7.2%,8.3%,High,Low
PID-00226,Marina Vista,JVC,Danube,Villa,4 BR,736684,8.2%,9.0%,Medium,Medium
PID-00227,Creek Collection,Business Bay,Danube,Townhouse,4 BR,1906859,8.0%,7.2%,High,Low
PID-00228,Grand Residences,Dubai Marina,DAMAC,Apartment,4 BR,1730503,7.1%,7.9%,High,Low
PID-00229,Canal Point,JVC,Binghatti,Townhouse,3 BR,1029049,8.3%,8.3%,Medium,Medium
PID-00230,Marina Residence,Business Bay,Sobha Realty,Apartment,1 BR,3652385,7.1%,6.5%,High,Low
PID-00231,Elite View,JVC,DAMAC,Apartment,1 BR,721486,9.3%,7.8%,Medium,Medium
PID-00232,Palm Tower,Business Bay,Emaar,Villa,Studio,3431823,8.0%,6.5%,High,Low
PID-00233,Canal Point,Dubai Marina,DAMAC,Townhouse,2 BR,4725617,8.3%,8.2%,High,Low
PID-00234,Canal Horizon,Dubai Marina,Sobha Realty,Apartment,1 BR,4481791,7.6%,7.8%,High,Low
PID-00235,The Place,Dubai Marina,Emaar,Apartment,1 BR,4818794,7.7%,7.0%,High,Low
PID-00236,Azure Central,JVC,DAMAC,Villa,1 BR,684223,8.4%,8.3%,Medium,Medium
PID-00237,Marina Square,Business Bay,Emaar,Apartment,4 BR,2146561,7.3%,7.5%,High,Low
PID-00238,Creek Residence,JVC,Emaar,Townhouse,3 BR,901359,9.5%,7.6%,Medium,Medium
PID-00239,Infinity Residence,Dubai Marina,Danube,Villa,1 BR,4770943,8.5%,6.8%,High,Low
PID-00240,Palm Park,Dubai Marina,Emaar,Apartment,1 BR,2146035,7.4%,7.8%,High,Low
PID-00241,Harbour One,Dubai Marina,DAMAC,Villa,Studio,1668484,8.4%,8.1%,High,Low
PID-00242,Creek Tower,Dubai Marina,DAMAC,Townhouse,Studio,4245465,8.0%,7.7%,High,Low
PID-00243,Royal Gardens,JVC,DAMAC,Townhouse,2 BR,1183601,8.7%,8.5%,Medium,Medium
PID-00244,Azure Collection,Dubai Marina,Emaar,Townhouse,1 BR,1601710,7.5%,6.6%,High,Low
PID-00245,Grand Vista,Dubai Marina,Sobha Realty,Apartment,3 BR,4053471,8.3%,6.5%,High,Low
PID-00246,Grand One,Business Bay,DAMAC,Villa,4 BR,2903468,7.2%,7.3%,High,Low
PID-00247,Elite View,JVC,Danube,Townhouse,3 BR,1345062,8.2%,8.8%,Medium,Medium
PID-00248,Azure Square,Dubai Marina,Sobha Realty,Apartment,4 BR,4178409,8.5%,7.3%,High,Low
PID-00249,Palm Heights,Dubai Marina,Binghatti,Townhouse,2 BR,4034135,8.0%,7.6%,High,Low
PID-00250,Vista View,JVC,Emaar,Apartment,1 BR,1395264,9.3%,8.7%,Medium,Medium
PID-00251,Palm Residence,Business Bay,DAMAC,Villa,1 BR,3992941,7.3%,6.9%,High,Low
PID-00252,Elite Point,Dubai Marina,DAMAC,Villa,1 BR,3707816,7.8%,8.3%,High,Low
PID-00253,Harbour Central,Dubai Marina,Binghatti,Apartment,Studio,4737498,7.8%,8.3%,High,Low
PID-00254,Marina Square,JVC,DAMAC,Villa,3 BR,1614883,8.6%,8.6%,Medium,Medium
PID-00255,Infinity One,Dubai Marina,Danube,Townhouse,3 BR,4531077,8.1%,7.9%,High,Low
PID-00256,Infinity One,Business Bay,DAMAC,Apartment,3 BR,3613898,7.8%,7.5%,High,Low
